time_step,agent_id,mean_predicted_price,mean_actual_price
0,0,51.192,69.788
0,1,55.69500000000001,69.788
0,2,49.635000000000005,69.788
0,3,45.175,69.788
0,4,46.785000000000004,69.788
1,0,76.689,44.211
1,1,77.45,44.211
1,2,75.929,44.211
1,3,75.82000000000001,44.211
1,4,77.10499999999999,44.211
2,0,73.732,51.775999999999996
2,1,62.265,51.775999999999996
2,2,65.44,51.775999999999996
2,3,63.725,51.775999999999996
2,4,77.56,51.775999999999996
3,0,83.336,42.836
3,1,77.19,42.836
3,2,76.55499999999999,42.836
3,3,75.03999999999999,42.836
3,4,78.4,42.836
4,0,87.35,43.958000000000006
4,1,75.44500000000001,43.958000000000006
4,2,79.08500000000001,43.958000000000006
4,3,64.35499999999999,43.958000000000006
4,4,78.02000000000001,43.958000000000006
5,0,92.16499999999999,40.481
5,1,78.285,40.481
5,2,77.905,40.481
5,3,73.28,40.481
5,4,80.95,40.481
6,0,87.63,44.718
6,1,77.64,44.718
6,2,66.965,44.718
6,3,69.675,44.718
6,4,78.465,44.718
7,0,89.125,43.562
7,1,73.77000000000001,43.562
7,2,66.215,43.562
7,3,73.14500000000001,43.562
7,4,83.125,43.562
8,0,86.14500000000001,48.059999999999995
8,1,65.94500000000001,48.059999999999995
8,2,65.94,48.059999999999995
8,3,67.55,48.059999999999995
8,4,77.25,48.059999999999995
9,0,84.875,46.932
9,1,70.659,46.932
9,2,70.16,46.932
9,3,63.895,46.932
9,4,78.455,46.932
10,0,84.28,45.864999999999995
10,1,74.158,45.864999999999995
10,2,76.135,45.864999999999995
10,3,64.025,45.864999999999995
10,4,75.975,45.864999999999995
11,0,81.955,46.532
11,1,69.84700000000001,46.532
11,2,72.69,46.532
11,3,74.56800000000001,46.532
11,4,71.39,46.532
12,0,82.85,47.911
12,1,73.84,47.911
12,2,71.52000000000001,47.911
12,3,64.565,47.911
12,4,70.985,47.911
13,0,68.155,49.827999999999996
13,1,69.61800000000001,49.827999999999996
13,2,75.55499999999999,49.827999999999996
13,3,72.64399999999999,49.827999999999996
13,4,67.41,49.827999999999996
14,0,68.375,45.797000000000004
14,1,81.184,45.797000000000004
14,2,85.115,45.797000000000004
14,3,74.72999999999999,45.797000000000004
14,4,64.94,45.797000000000004
15,0,67.705,49.605000000000004
15,1,71.67,49.605000000000004
15,2,88.455,49.605000000000004
15,3,68.07,49.605000000000004
15,4,58.3,49.605000000000004
16,0,66.755,48.847
16,1,73.455,48.847
16,2,88.955,48.847
16,3,69.505,48.847
16,4,59.089999999999996,48.847
17,0,68.72999999999999,48.777
17,1,76.215,48.777
17,2,88.17,48.777
17,3,63.474000000000004,48.777
17,4,62.855,48.777
18,0,66.97,46.529
18,1,81.28999999999999,46.529
18,2,91.89500000000001,46.529
18,3,66.211,46.529
18,4,64.265,46.529
19,0,64.735,48.446
19,1,80.125,48.446
19,2,86.288,48.446
19,3,65.821,48.446
19,4,63.370000000000005,48.446
20,0,64.015,48.108
20,1,78.69800000000001,48.108
20,2,89.834,48.108
20,3,65.329,48.108
20,4,65.21000000000001,48.108
21,0,70.095,45.487
21,1,82.85900000000001,45.487
21,2,91.405,45.487
21,3,64.627,45.487
21,4,66.925,45.487
22,0,69.375,46.315
22,1,81.284,46.315
22,2,90.615,46.315
22,3,65.554,46.315
22,4,65.485,46.315
23,0,71.09,45.08
23,1,80.419,45.08
23,2,93.192,45.08
23,3,66.51599999999999,45.08
23,4,66.655,45.08
24,0,69.97,44.45
24,1,82.529,44.45
24,2,94.02799999999999,44.45
