time_step,agent_id,mean_predicted_price,mean_actual_price
0,0,50.0,70.179
0,1,48.1,70.179
0,2,49.5,70.179
0,3,48.55,70.179
0,4,50.0,70.179
1,0,68.9,52.234
1,1,67.175,52.234
1,2,67.3,52.234
1,3,70.075,52.234
1,4,66.7,52.234
2,0,51.30499999999999,67.983
2,1,52.185,67.983
2,2,53.85,67.983
2,3,51.0,67.983
2,4,50.15,67.983
3,0,66.4,52.831999999999994
3,1,68.92999999999999,52.831999999999994
3,2,67.275,52.831999999999994
3,3,69.275,52.831999999999994
3,4,66.175,52.831999999999994
4,0,54.029999999999994,67.219
4,1,52.32000000000001,67.219
4,2,52.885000000000005,67.219
4,3,52.69500000000001,67.219
4,4,50.8,67.219
5,0,68.52000000000001,52.98
5,1,68.26,52.98
5,2,66.935,52.98
5,3,66.83500000000001,52.98
5,4,66.19500000000001,52.98
6,0,53.371,66.444
6,1,52.835,66.444
6,2,54.660000000000004,66.444
6,3,52.475,66.444
6,4,53.345000000000006,66.444
7,0,65.85,54.799
7,1,64.44,54.799
7,2,67.287,54.799
7,3,67.402,54.799
7,4,61.545,54.799
8,0,53.989999999999995,65.12100000000001
8,1,55.14,65.12100000000001
8,2,54.575,65.12100000000001
8,3,55.415,65.12100000000001
8,4,53.48,65.12100000000001
9,0,62.654999999999994,56.325
9,1,64.115,56.325
9,2,64.38,56.325
9,3,64.35499999999999,56.325
9,4,63.295,56.325
10,0,55.879999999999995,63.193
10,1,55.69,63.193
10,2,56.625,63.193
10,3,57.955,63.193
10,4,57.175,63.193
11,0,62.73,56.773
11,1,64.22,56.773
11,2,63.745000000000005,56.773
11,3,63.835,56.773
11,4,62.14,56.773
12,0,59.395,62.35
12,1,56.42999999999999,62.35
12,2,57.220000000000006,62.35
12,3,57.085,62.35
12,4,56.92,62.35
13,0,62.739999999999995,57.181
13,1,63.125,57.181
13,2,63.025,57.181
13,3,62.885000000000005,57.181
13,4,62.79,57.181
14,0,57.04,62.448
14,1,57.39,62.448
14,2,57.455,62.448
14,3,57.565,62.448
14,4,57.029999999999994,62.448
15,0,63.0,57.92100000000001
15,1,62.614999999999995,57.92100000000001
15,2,63.02,57.92100000000001
15,3,60.028,57.92100000000001
15,4,62.935,57.92100000000001
16,0,60.80499999999999,60.138999999999996
16,1,60.004999999999995,60.138999999999996
16,2,58.279999999999994,60.138999999999996
16,3,59.175,60.138999999999996
16,4,60.83,60.138999999999996
17,0,60.92,59.653
17,1,60.015,59.653
17,2,59.904999999999994,59.653
17,3,60.42999999999999,59.653
17,4,60.515,59.653
18,0,60.8,59.967
18,1,59.48,59.967
18,2,60.32000000000001,59.967
18,3,58.739999999999995,59.967
18,4,60.395,59.967
19,0,59.935,60.025
19,1,60.129999999999995,60.025
19,2,60.085,60.025
19,3,59.979,60.025
19,4,59.69500000000001,60.025
20,0,60.435,59.269000000000005
20,1,60.52,59.269000000000005
20,2,61.278,59.269000000000005
20,3,60.010000000000005,59.269000000000005
20,4,61.44500000000001,59.269000000000005
21,0,59.64,60.156000000000006
21,1,59.614999999999995,60.156000000000006
21,2,59.190999999999995,60.156000000000006
21,3,59.485,60.156000000000006
21,4,60.1,60.156000000000006
22,0,60.105,59.912
22,1,59.938,59.912
22,2,60.25,59.912
22,3,60.086,59.912
22,4,60.720000000000006,59.912
23,0,59.748000000000005,59.782000000000004
23,1,59.999,59.782000000000004
23,2,60.44500000000001,59.782000000000004
23,3,60.404999999999994,59.782000000000004
23,4,60.42,59.782000000000004
24,0,59.92,59.814
24,1,59.964999999999996,59.814
24,2,60.435,59.814
24,3,60.260000000000005,59.814
24,4,60.142999999999994,59.814
25,0,60.029999999999994,59.803
25,1,60.345000000000006,59.803
25,2,60.795,59.803
25,3,59.964999999999996,59.803
25,4,59.762,59.803
26,0,59.870000000000005,59.886
26,1,60.467999999999996,59.886
26,2,59.98,59.886
26,3,60.265,59.886
26,4,60.395,59.886
27,0,60.339999999999996,59.576
27,1,60.538,59.576
27,2,60.64,59.576
27,3,59.910000000000004,59.576
27,4,60.529999999999994,59.576
28,0,59.989999999999995,59.911
28,1,60.205,59.911
28,2,59.94,59.911
28,3,60.010000000000005,59.911
28,4,60.279999999999994,59.911
29,0,60.202,59.745000000000005
29,1,60.146,59.745000000000005
29,2,60.370000000000005,59.745000000000005
29,3,60.29,59.745000000000005
29,4,60.61,59.745000000000005
30,0,59.79,59.898
30,1,60.011,59.898
30,2,60.095000000000006,59.898
30,3,60.145,59.898
30,4,60.64,59.898
31,0,59.995000000000005,59.95700000000001
31,1,60.04600000000001,59.95700000000001
31,2,60.098,59.95700000000001
31,3,60.075,59.95700000000001
31,4,60.489999999999995,59.95700000000001
32,0,60.239999999999995,59.668000000000006
32,1,60.19,59.668000000000006
32,2,60.32000000000001,59.668000000000006
32,3,60.3,59.668000000000006
32,4,60.5,59.668000000000006
33,0,59.799,59.982000000000006
33,1,60.108000000000004,59.982000000000006
33,2,59.85,59.982000000000006
33,3,59.970000000000006,59.982000000000006
33,4,60.4,59.982000000000006
34,0,60.085,59.647000000000006
34,1,60.345000000000006,59.647000000000006
34,2,60.299,59.647000000000006
34,3,60.327999999999996,59.647000000000006
34,4,60.470000000000006,59.647000000000006
35,0,59.797000000000004,59.811
35,1,59.925,59.811
35,2,59.985,59.811
35,3,60.451,59.811
35,4,60.42,59.811
36,0,59.975,59.809000000000005
36,1,59.989999999999995,59.809000000000005
36,2,60.275,59.809000000000005
36,3,60.188,59.809000000000005
36,4,60.413,59.809000000000005
37,0,59.964999999999996,59.975
37,1,60.02,59.975
37,2,60.160000000000004,59.975
37,3,60.338,59.975
37,4,60.275,59.975
38,0,60.17999999999999,59.666
38,1,60.08,59.666
38,2,60.592999999999996,59.666
38,3,60.373000000000005,59.666
38,4,60.653999999999996,59.666
39,0,60.035000000000004,59.681999999999995
39,1,59.96,59.681999999999995
39,2,60.282,59.681999999999995
39,3,60.339,59.681999999999995
39,4,60.42,59.681999999999995
40,0,59.846000000000004,59.891999999999996
40,1,59.910000000000004,59.891999999999996
40,2,60.056999999999995,59.891999999999996
40,3,60.224000000000004,59.891999999999996
40,4,60.35,59.891999999999996
41,0,59.874,59.855999999999995
41,1,60.077,59.855999999999995
41,2,60.034000000000006,59.855999999999995
41,3,60.169000000000004,59.855999999999995
41,4,60.455,59.855999999999995
42,0,59.992,59.992
42,1,60.010000000000005,59.992
42,2,60.150999999999996,59.992
42,3,60.07899999999999,59.992
42,4,60.288,59.992
43,0,60.153999999999996,59.85699999999999
43,1,60.135000000000005,59.85699999999999
43,2,60.359,59.85699999999999
43,3,60.234,59.85699999999999
43,4,60.347,59.85699999999999
44,0,60.041999999999994,59.898
44,1,60.02,59.898
44,2,60.105,59.898
44,3,60.213,59.898
44,4,60.235,59.898
45,0,60.120000000000005,59.815999999999995
45,1,60.21,59.815999999999995
45,2,60.306,59.815999999999995
45,3,60.141999999999996,59.815999999999995
45,4,60.42,59.815999999999995
46,0,60.242,59.797000000000004
