time_step,agent_id,mean_predicted_price,mean_actual_price
0,0,47.575,70.381
0,1,49.575,70.381
0,2,50.0,70.381
0,3,49.575,70.381
0,4,48.075,70.381
1,0,70.63,49.381
1,1,71.77000000000001,49.381
1,2,71.025,49.381
1,3,70.88,49.381
1,4,71.025,49.381
2,0,48.605000000000004,69.904
2,1,49.355000000000004,69.904
2,2,47.269999999999996,69.904
2,3,51.195,69.904
2,4,51.7,69.904
3,0,70.03999999999999,50.161
3,1,70.375,50.161
3,2,70.6,50.161
3,3,70.22999999999999,50.161
3,4,69.64,50.161
4,0,51.83,67.321
4,1,52.17999999999999,67.321
4,2,53.245000000000005,67.321
4,3,50.985,67.321
4,4,52.58,67.321
5,0,68.55499999999999,52.766999999999996
5,1,66.827,52.766999999999996
5,2,67.315,52.766999999999996
5,3,68.35,52.766999999999996
5,4,67.14,52.766999999999996
6,0,53.135000000000005,66.583
6,1,52.839999999999996,66.583
6,2,51.315,66.583
6,3,56.07000000000001,66.583
6,4,52.585,66.583
7,0,65.455,54.214
7,1,65.89,54.214
7,2,66.435,54.214
7,3,67.935,54.214
7,4,64.875,54.214
8,0,56.685,64.784
8,1,57.07000000000001,64.784
8,2,53.711,64.784
8,3,53.165,64.784
8,4,54.129999999999995,64.784
9,0,65.819,55.54
9,1,66.285,55.54
9,2,61.660000000000004,55.54
9,3,63.48,55.54
9,4,66.125,55.54
10,0,55.64,63.516
10,1,55.375,63.516
10,2,55.870000000000005,63.516
10,3,57.379999999999995,63.516
10,4,56.89,63.516
11,0,62.4,56.321000000000005
11,1,63.98,56.321000000000005
11,2,63.6,56.321000000000005
11,3,63.265,56.321000000000005
11,4,65.91,56.321000000000005
12,0,56.65,63.012
12,1,56.795,63.012
12,2,56.395,63.012
12,3,57.260000000000005,63.012
12,4,56.575,63.012
13,0,61.44500000000001,57.463
13,1,61.95,57.463
13,2,63.39,57.463
13,3,63.075,57.463
13,4,64.07000000000001,57.463
14,0,57.8,61.516
14,1,58.17,61.516
14,2,58.125,61.516
14,3,60.435,61.516
14,4,58.07000000000001,61.516
15,0,61.029999999999994,59.931
15,1,58.165,59.931
15,2,57.69500000000001,59.931
15,3,60.625,59.931
15,4,62.279999999999994,59.931
16,0,60.120000000000005,59.645
16,1,60.675,59.645
16,2,60.44,59.645
16,3,60.495000000000005,59.645
16,4,60.214999999999996,59.645
17,0,60.375,59.799
17,1,60.415,59.799
17,2,59.625,59.799
17,3,60.225,59.799
17,4,60.410000000000004,59.799
18,0,61.845000000000006,60.136
18,1,60.013,60.136
18,2,58.735,60.136
18,3,59.754999999999995,60.136
18,4,59.3,60.136
19,0,60.375,59.597
19,1,61.125,59.597
19,2,60.19500000000001,59.597
19,3,60.345000000000006,59.597
19,4,60.585,59.597
20,0,60.85,59.678999999999995
20,1,60.235,59.678999999999995
20,2,60.19,59.678999999999995
20,3,60.145,59.678999999999995
20,4,59.855,59.678999999999995
21,0,60.105,60.188
21,1,59.835,60.188
21,2,59.510000000000005,60.188
21,3,59.96,60.188
21,4,60.05499999999999,60.188
22,0,61.489999999999995,59.272000000000006
22,1,60.510000000000005,59.272000000000006
22,2,60.145,59.272000000000006
22,3,60.235,59.272000000000006
22,4,60.675,59.272000000000006
23,0,59.425,60.176
23,1,60.125,60.176
23,2,59.48,60.176
23,3,60.339999999999996,60.176
23,4,59.645,60.176
24,0,60.375,59.589
24,1,60.625,59.589
24,2,60.503,59.589
24,3,60.52,59.589
24,4,59.838,59.589
25,0,59.675,59.95399999999999
25,1,60.339999999999996,59.95399999999999
25,2,59.947,59.95399999999999
25,3,60.137,59.95399999999999
25,4,59.83,59.95399999999999
26,0,60.04600000000001,59.633
26,1,60.565,59.633
26,2,60.239999999999995,59.633
26,3,60.278,59.633
26,4,60.339999999999996,59.633
27,0,60.04,59.813
27,1,60.625,59.813
27,2,60.273,59.813
27,3,60.178,59.813
27,4,60.145,59.813
28,0,60.14,59.641
28,1,60.2,59.641
28,2,59.955,59.641
28,3,60.672000000000004,59.641
28,4,59.95,59.641
29,0,60.44500000000001,59.86
29,1,59.839999999999996,59.86
29,2,60.153,59.86
29,3,60.113,59.86
29,4,60.007000000000005,59.86
30,0,60.085,59.937
30,1,60.345000000000006,59.937
30,2,60.128,59.937
30,3,59.961,59.937
30,4,59.935,59.937
31,0,60.105,59.79600000000001
31,1,60.325,59.79600000000001
31,2,60.095000000000006,59.79600000000001
31,3,60.169000000000004,59.79600000000001
31,4,60.278999999999996,59.79600000000001
32,0,59.845000000000006,59.891999999999996
32,1,60.335,59.891999999999996
32,2,60.07000000000001,59.891999999999996
32,3,59.825,59.891999999999996
32,4,60.019999999999996,59.891999999999996
33,0,60.085,59.839
33,1,60.32000000000001,59.839
33,2,60.33,59.839
33,3,60.234,59.839
33,4,60.08,59.839
34,0,59.995000000000005,60.041999999999994
34,1,60.315,60.041999999999994
34,2,60.06,60.041999999999994
34,3,60.095000000000006,60.041999999999994
34,4,60.291,60.041999999999994
35,0,60.3,59.641
35,1,60.295,59.641
35,2,60.303999999999995,59.641
35,3,60.230999999999995,59.641
35,4,60.385000000000005,59.641
36,0,59.947,59.91799999999999
36,1,60.045,59.91799999999999
36,2,60.008,59.91799999999999
36,3,60.385000000000005,59.91799999999999
36,4,59.964999999999996,59.91799999999999
37,0,60.17999999999999,59.867
37,1,60.14,59.867
37,2,60.075,59.867
37,3,60.17,59.867
37,4,60.07000000000001,59.867
38,0,60.154999999999994,59.875
38,1,60.11,59.875
38,2,60.07000000000001,59.875
38,3,60.254999999999995,59.875
38,4,60.104,59.875
39,0,60.340999999999994,59.822
39,1,60.239,59.822
39,2,60.153,59.822
39,3,60.162,59.822
39,4,60.247,59.822
40,0,60.19,59.955
40,1,60.057,59.955
40,2,60.138,59.955
40,3,59.95,59.955
40,4,60.016,59.955
41,0,60.273,59.955
41,1,60.075,59.955
41,2,60.29299999999999,59.955
41,3,60.172000000000004,59.955
41,4,60.1,59.955
42,0,60.435,59.758
42,1,60.095000000000006,59.758
42,2,60.233000000000004,59.758
42,3,60.126,59.758
42,4,60.325,59.758
43,0,60.138,60.063
43,1,60.185,60.063
43,2,60.05,60.063
43,3,60.120000000000005,60.063
43,4,60.225,60.063
44,0,60.236000000000004,59.783
44,1,60.285000000000004,59.783
44,2,60.04,59.783
44,3,59.96,59.783
44,4,60.262,59.783
45,0,60.015,59.98100000000001
45,1,59.910000000000004,59.98100000000001
45,2,59.997,59.98100000000001
45,3,60.104,59.98100000000001
45,4,60.034000000000006,59.98100000000001
46,0,60.089999999999996,59.928
46,1,60.32000000000001,59.928
46,2,60.117,59.928
46,3,60.485,59.928
46,4,60.04,59.928
47,0,60.177,59.916999999999994
47,1,60.124,59.916999999999994
47,2,60.232000000000006,59.916999999999994
47,3,60.367999999999995,59.916999999999994
47,4,60.065999999999995,59.916999999999994
48,0,59.94500000000001,59.90599999999999
48,1,60.235,59.90599999999999
48,2,60.235,59.90599999999999
48,3,60.017999999999994,59.90599999999999
48,4,60.03099999999999,59.90599999999999
49,0,60.35,59.738
49,1,60.28099999999999,59.738
49,2,60.254,59.738
49,3,60.202,59.738
49,4,60.016999999999996,59.738
